iter	Passed	Remaining
0	4	428
1	7	385
2	11	357
3	14	351
4	18	352
5	21	341
6	24	328
7	28	325
8	32	325
9	35	321
10	39	316
11	42	309
12	45	305
13	49	305
14	53	300
15	56	295
16	59	290
17	61	282
18	64	274
19	67	268
20	69	261
21	71	254
22	74	248
23	76	241
24	78	234
25	79	227
26	81	220
27	83	214
28	84	208
29	86	201
30	87	195
31	89	190
32	91	186
33	93	180
34	94	174
35	95	169
36	96	164
37	98	159
38	99	155
39	100	151
40	102	147
41	103	142
42	105	139
43	106	135
44	107	131
45	109	128
46	110	124
47	112	121
48	113	117
49	114	114
50	115	111
51	116	107
52	118	104
53	120	102
54	122	100
55	123	97
56	124	94
57	126	91
58	127	88
59	128	85
60	129	82
61	130	80
62	131	77
63	132	74
64	134	72
65	137	70
66	138	68
67	140	65
68	141	63
69	142	61
70	143	58
71	144	56
72	146	54
73	147	51
74	148	49
75	151	47
76	153	45
77	154	43
78	155	41
79	156	39
80	158	37
81	159	35
82	160	32
83	161	30
84	162	28
85	165	26
86	167	24
87	168	23
88	169	20
89	171	19
90	172	17
91	173	15
92	174	13
93	175	11
94	176	9
95	178	7
96	180	5
97	181	3
98	183	1
99	185	0
