iter	Passed	Remaining
0	158	158673
1	162	81135
2	165	54946
3	167	41598
4	169	33725
5	171	28483
6	173	24663
7	176	21929
8	179	19728
9	182	18027
10	184	16560
11	186	15353
12	190	14447
13	192	13589
14	194	12799
15	196	12112
16	199	11523
17	203	11124
18	206	10682
19	209	10251
20	212	9913
21	216	9641
22	220	9345
23	222	9039
24	224	8766
25	227	8523
26	230	8296
27	234	8145
28	236	7927
29	238	7721
30	241	7541
31	244	7390
32	248	7278
33	250	7110
34	252	6964
35	254	6819
36	257	6697
37	260	6592
38	263	6489
39	265	6372
40	267	6264
41	270	6172
42	272	6073
43	280	6104
44	283	6014
45	285	5917
46	286	5819
47	289	5750
48	293	5691
49	294	5601
50	296	5523
51	298	5441
52	300	5361
53	301	5289
54	305	5255
55	308	5192
56	309	5127
57	311	5064
58	314	5008
59	315	4941
60	317	4883
61	321	4857
62	322	4801
63	324	4743
64	326	4690
65	328	4642
66	329	4593
67	332	4550
68	334	4515
69	337	4477
70	339	4444
71	341	4402
72	344	4368
73	346	4330
74	350	4320
75	352	4286
76	354	4248
77	356	4218
78	359	4190
79	361	4159
80	367	4167
81	369	4140
82	372	4111
83	375	4090
84	380	4097
85	383	4074
86	386	4054
87	391	4057
88	397	4067
89	400	4046
90	402	4023
91	406	4009
92	411	4016
93	414	3992
94	417	3976
95	420	3961
96	423	3939
97	428	3940
98	430	3919
99	433	3903
100	436	3884
101	442	3892
102	445	3876
103	447	3852
104	449	3833
105	452	3812
106	455	3803
107	458	3784
108	460	3767
109	463	3752
110	466	3737
111	469	3721
112	473	3717
113	475	3698
114	477	3678
115	480	3662
116	483	3646
117	490	3664
118	492	3647
119	496	3640
120	502	3650
121	504	3628
122	506	3614
123	510	3608
124	513	3594
125	519	3606
126	522	3591
127	526	3586
128	531	3586
129	534	3576
130	538	3569
131	542	3564
132	546	3565
133	549	3552
134	553	3543
135	555	3531
136	562	3540
137	565	3530
138	567	3517
139	570	3503
140	573	3494
141	576	3485
142	579	3474
143	582	3464
144	584	3448
145	587	3436
146	594	3447
147	597	3439
148	601	3433
149	607	3443
150	610	3433
151	614	3428
152	617	3420
153	623	3424
154	626	3415
155	629	3406
156	633	3399
157	639	3409
158	646	3419
159	654	3436
160	659	3438
161	663	3431
162	670	3441
163	673	3435
164	676	3422
165	679	3412
166	685	3418
167	688	3408
168	690	3395
169	693	3385
170	700	3393
171	702	3381
172	705	3370
173	707	3359
174	710	3347
175	714	3347
176	718	3338
177	721	3332
178	724	3323
179	730	3329
180	745	3372
181	771	3468
182	773	3451
183	777	3447
